image_name,xmin,xmax,ymin,ymax,class_id
28_26_14_aug_4666.jpg,233,283,685,738,6
28_26_14_aug_4666.jpg,332,381,685,738,3
28_26_14_aug_4666.jpg,183,534,414,794,32
28_26_14_aug_4666.jpg,184,234,420,473,23
28_26_14_aug_4666.jpg,233,283,420,473,19
28_26_14_aug_4666.jpg,184,234,473,526,10
28_26_14_aug_4666.jpg,233,283,473,526,22
28_26_14_aug_4666.jpg,332,381,473,526,14
28_26_14_aug_4666.jpg,431,481,526,579,25
28_26_14_aug_4666.jpg,184,234,579,632,15
28_26_14_aug_4666.jpg,381,431,579,632,26
28_26_14_aug_4666.jpg,184,234,632,685,12
28_26_14_aug_4666.jpg,233,283,632,685,5
28_26_14_aug_4666.jpg,283,333,632,685,17
28_26_14_aug_4666.jpg,184,234,685,738,13
35_50_7_aug_2285.jpg,444,494,647,701,12
35_50_7_aug_2285.jpg,444,494,701,755,18
35_50_7_aug_2285.jpg,245,598,427,800,32
35_50_7_aug_2285.jpg,295,345,433,487,21
35_50_7_aug_2285.jpg,444,494,433,487,4
35_50_7_aug_2285.jpg,545,595,433,487,13
35_50_7_aug_2285.jpg,246,296,647,701,29
35_50_7_aug_2285.jpg,395,444,647,701,7
38_10_4_aug_3578.jpg,306,358,642,692,28
38_10_4_aug_3578.jpg,409,461,642,692,15
38_10_4_aug_3578.jpg,201,569,388,745,32
38_10_4_aug_3578.jpg,409,461,493,543,18
38_10_4_aug_3578.jpg,254,306,592,642,30
37_21_5_aug_5393.jpg,375,425,562,613,26
37_21_5_aug_5393.jpg,477,527,562,613,29
37_21_5_aug_5393.jpg,174,530,402,769,32
37_21_5_aug_5393.jpg,276,326,459,510,7
37_21_5_aug_5393.jpg,326,375,459,510,9
37_21_5_aug_5393.jpg,477,527,459,510,14
11_12_31_aug_328.jpg,476,527,622,671,21
11_12_31_aug_328.jpg,526,577,622,671,7
11_12_31_aug_328.jpg,222,580,373,722,32
11_12_31_aug_328.jpg,223,274,379,428,28
11_12_31_aug_328.jpg,424,475,379,428,13
11_12_31_aug_328.jpg,476,527,379,428,4
11_12_31_aug_328.jpg,273,324,427,476,3
11_12_31_aug_328.jpg,324,375,427,476,18
11_12_31_aug_328.jpg,374,424,427,476,27
11_12_31_aug_328.jpg,424,475,427,476,15
11_12_31_aug_328.jpg,476,527,427,476,30
11_12_31_aug_328.jpg,526,577,427,476,9
11_12_31_aug_328.jpg,223,274,476,525,20
11_12_31_aug_328.jpg,273,324,476,525,17
11_12_31_aug_328.jpg,324,375,476,525,11
11_12_31_aug_328.jpg,223,274,524,573,29
11_12_31_aug_328.jpg,273,324,524,573,8
11_12_31_aug_328.jpg,324,375,524,573,2
11_12_31_aug_328.jpg,374,424,524,573,12
11_12_31_aug_328.jpg,424,475,524,573,26
11_12_31_aug_328.jpg,476,527,524,573,25
11_12_31_aug_328.jpg,526,577,524,573,22
11_12_31_aug_328.jpg,223,274,573,622,16
11_12_31_aug_328.jpg,273,324,573,622,1
11_12_31_aug_328.jpg,324,375,573,622,19
11_12_31_aug_328.jpg,424,475,573,622,24
11_12_31_aug_328.jpg,526,577,573,622,10
11_12_31_aug_328.jpg,223,274,622,671,14
11_12_31_aug_328.jpg,273,324,622,671,5
11_12_31_aug_328.jpg,324,375,622,671,23
11_12_31_aug_328.jpg,374,424,622,671,31
11_12_31_aug_328.jpg,424,475,622,671,6
41_29_1_aug_532.jpg,227,570,381,738,32
41_29_1_aug_532.jpg,228,277,387,437,20
11_14_31_aug_848.jpg,461,510,687,740,15
11_14_31_aug_848.jpg,510,559,687,740,14
11_14_31_aug_848.jpg,216,562,415,797,32
11_14_31_aug_848.jpg,217,266,421,474,21
11_14_31_aug_848.jpg,315,364,421,474,19
11_14_31_aug_848.jpg,363,411,421,474,18
11_14_31_aug_848.jpg,461,510,421,474,26
11_14_31_aug_848.jpg,315,364,474,527,16
11_14_31_aug_848.jpg,363,411,474,527,23
11_14_31_aug_848.jpg,411,460,474,527,1
11_14_31_aug_848.jpg,461,510,474,527,31
11_14_31_aug_848.jpg,510,559,474,527,29
11_14_31_aug_848.jpg,217,266,527,580,11
11_14_31_aug_848.jpg,266,315,527,580,28
11_14_31_aug_848.jpg,315,364,527,580,4
11_14_31_aug_848.jpg,363,411,527,580,3
11_14_31_aug_848.jpg,411,460,527,580,10
11_14_31_aug_848.jpg,461,510,527,580,8
11_14_31_aug_848.jpg,510,559,527,580,2
11_14_31_aug_848.jpg,266,315,581,634,24
11_14_31_aug_848.jpg,363,411,581,634,7
